current_player,is_current_player_hand_winner,is_current_player_game_winner,current_player_score,opponent_score,current_player_deadwood,current_player_num_hit_cards,num_melds,point_sum_melds,num_combos,point_sum_combos,num_knock_cache,point_sum_knock_cache,num_load_cards,point_sum_load_cards,turns_taken
1.0,0,0,33.0,2.0,31.0,10.0,1.0,0.0,4.0,25.0,3.0,7.0,1.0,4.0,3.0
0.0,1,1,33.0,2.0,34.0,6.0,1.0,18.0,2.0,21.0,3.0,4.0,1.0,5.0,3.0
1.0,0,0,33.0,2.0,31.0,10.0,1.0,0.0,4.0,25.0,3.0,7.0,1.0,4.0,4.0
0.0,1,1,33.0,2.0,30.0,8.0,1.0,21.0,3.0,27.0,3.0,4.0,0.0,0.0,4.0
1.0,0,0,33.0,2.0,31.0,10.0,1.0,0.0,4.0,25.0,3.0,7.0,1.0,4.0,5.0
0.0,1,1,33.0,2.0,30.0,8.0,1.0,21.0,3.0,27.0,3.0,4.0,0.0,0.0,5.0
1.0,0,0,33.0,2.0,31.0,10.0,1.0,0.0,4.0,25.0,3.0,7.0,1.0,4.0,6.0
0.0,1,1,33.0,2.0,28.0,8.0,1.0,21.0,2.0,16.0,3.0,4.0,1.0,4.0,6.0
1.0,0,0,33.0,2.0,31.0,10.0,1.0,0.0,4.0,25.0,3.0,7.0,1.0,4.0,7.0
0.0,1,1,33.0,2.0,28.0,7.0,1.0,21.0,2.0,16.0,3.0,4.0,1.0,4.0,7.0
1.0,0,0,33.0,2.0,27.0,7.0,1.0,0.0,3.0,15.0,3.0,5.0,2.0,9.0,8.0
0.0,1,1,33.0,2.0,11.0,6.0,2.0,36.0,1.0,6.0,3.0,4.0,0.0,0.0,8.0
0.0,1,1,33.0,2.0,9.0,7.0,2.0,36.0,2.0,3.0,4.0,5.0,0.0,0.0,9.0
0.0,0,1,45.0,2.0,84.0,6.0,0.0,0.0,3.0,45.0,2.0,8.0,5.0,41.0,0.0
1.0,1,0,45.0,2.0,51.0,6.0,0.0,0.0,3.0,26.0,4.0,3.0,2.0,14.0,0.0
0.0,0,1,45.0,2.0,64.0,4.0,1.0,12.0,1.0,19.0,1.0,6.0,4.0,35.0,1.0
1.0,1,0,45.0,2.0,51.0,5.0,0.0,0.0,3.0,26.0,4.0,3.0,2.0,14.0,1.0
0.0,0,1,45.0,2.0,62.0,8.0,1.0,12.0,3.0,48.0,1.0,6.0,1.0,10.0,2.0
1.0,1,0,45.0,2.0,22.0,5.0,1.0,30.0,2.0,6.0,4.0,3.0,1.0,6.0,2.0
0.0,0,1,45.0,2.0,35.0,6.0,2.0,36.0,0.0,0.0,1.0,6.0,3.0,27.0,3.0
1.0,1,0,45.0,2.0,17.0,9.0,1.0,30.0,4.0,9.0,5.0,4.0,0.0,0.0,3.0
0.0,0,1,45.0,2.0,31.0,6.0,2.0,36.0,0.0,0.0,1.0,5.0,3.0,23.0,4.0
1.0,1,0,45.0,2.0,13.0,6.0,1.0,40.0,3.0,3.0,5.0,4.0,1.0,3.0,4.0
0.0,0,1,45.0,2.0,25.0,6.0,2.0,36.0,0.0,0.0,2.0,8.0,2.0,13.0,5.0
1.0,1,0,45.0,2.0,13.0,6.0,1.0,40.0,3.0,3.0,5.0,4.0,1.0,3.0,5.0
1.0,1,0,45.0,2.0,4.0,6.0,2.0,46.0,2.0,1.0,3.0,1.0,0.0,0.0,6.0
1.0,0,0,45.0,23.0,69.0,4.0,0.0,0.0,2.0,23.0,3.0,6.0,4.0,39.0,0.0
0.0,1,1,45.0,23.0,56.0,10.0,0.0,0.0,5.0,48.0,4.0,5.0,1.0,4.0,0.0
1.0,0,0,45.0,23.0,69.0,4.0,0.0,0.0,2.0,23.0,3.0,6.0,4.0,39.0,0.0
0.0,1,1,45.0,23.0,56.0,10.0,0.0,0.0,5.0,48.0,4.0,5.0,1.0,4.0,0.0
1.0,0,0,45.0,23.0,46.0,3.0,1.0,15.0,0.0,0.0,3.0,6.0,4.0,35.0,1.0
0.0,1,1,45.0,23.0,52.0,8.0,0.0,0.0,4.0,28.0,4.0,5.0,3.0,19.0,1.0
1.0,0,0,45.0,23.0,36.0,4.0,1.0,22.0,0.0,0.0,3.0,6.0,3.0,25.0,2.0
