current_player_score,opponent_score,current_player_deadwood,current_player_num_options,is_current_player_hand_winner,is_current_player_game_winner
27,31,45,3,1.0,1
64,31,46,8,1.0,1
0,0,55,6,0.0,1
0,16,64,6,1.0,1
33,16,56,9,0.0,1
33,26,73,6,1.0,1
60,26,44,4,0.0,1
60,30,62,10,1.0,1
64,30,60,2,0.0,1
64,45,45,2,0.0,1
64,53,51,4,1.0,1
69,53,51,10,1.0,1
98,53,63,9,1.0,1
0,0,66,6,1.0,1
6,0,61,12,1.0,1
12,0,51,7,1.0,1
21,0,70,9,1.0,1
47,0,50,8,1.0,1
53,0,54,3,1.0,1
63,0,64,8,0.0,1
63,23,68,9,1.0,1
88,23,67,6,1.0,1
99,23,72,10,1.0,1
0,0,68,9,1.0,1
8,0,55,6,0.0,1
8,12,66,8,1.0,1
15,12,59,5,1.0,1
35,12,55,6,0.0,1
35,20,57,3,1.0,1
36,20,54,7,0.0,1
36,30,39,2,0.0,1
36,43,61,7,1.0,1
43,43,63,7,1.0,1
49,43,67,6,0.0,1
49,57,64,7,0.0,1
49,65,41,3,0.0,1
49,70,44,3,1.0,1
66,70,81,7,1.0,1
0,0,75,9,1.0,1
20,0,71,3,1.0,1
23,0,49,6,0.0,1
23,4,47,7,0.0,1
23,18,73,9,0.0,1
23,77,34,3,0.0,1
23,80,24,0,0.0,1
23,88,71,11,1.0,1
54,88,36,6,1.0,1
65,88,75,9,1.0,1
0,0,76,6,0.0,0
0,29,33,5,0.0,0
0,31,66,7,0.0,0
0,77,67,3,1.0,0
3,77,47,2,1.0,0
19,77,59,10,1.0,0
36,77,69,7,0.0,0
36,97,56,9,1.0,0
46,97,59,11,0.0,0
0,0,61,4,0.0,1
0,24,59,7,1.0,1
11,24,65,7,1.0,1
23,24,39,6,0.0,1
23,49,48,3,1.0,1
44,49,67,8,1.0,1
46,49,39,2,1.0,1
55,49,44,3,0.0,1
55,65,48,5,1.0,1
59,65,65,10,1.0,1
74,65,63,4,1.0,1
84,65,51,5,0.0,1
84,93,44,6,1.0,1
0,0,74,9,1.0,0
8,0,61,9,0.0,0
8,21,65,8,0.0,0
8,37,58,6,1.0,0
12,37,68,6,0.0,0
12,53,40,5,0.0,0
12,65,34,2,1.0,0
21,65,63,6,0.0,0
21,71,60,4,0.0,0
21,84,52,6,0.0,0
0,0,72,6,0.0,0
0,2,65,6,0.0,0
0,31,71,7,0.0,0
0,88,69,6,0.0,0
0,0,44,4,1.0,1
49,0,35,4,0.0,1
49,7,32,5,0.0,1
49,16,68,12,1.0,1
60,16,63,4,0.0,1
60,22,74,6,0.0,1
60,29,55,7,0.0,1
60,34,67,7,0.0,1
60,65,39,2,1.0,1
91,65,44,5,1.0,1
98,65,42,5,0.0,1
98,73,70,7,0.0,1
98,84,52,8,1.0,1
0,0,49,4,1.0,0
12,0,75,9,0.0,0
